name,tradeType,ticker,strikePrice,optionType,date,price,timePlaced,traded,notes
wildape,STC,TSLA,655P,P,05/14,11.6,2021-04-27 10:35:25.268140,True,(TESTY THINGY MABOB)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 10:36:39.290842,True,(TESTY THINGY MABOB)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 10:38:48.779520,True,(TESTY THINGY MABOB)
Justinvred,STC,TSLA,655P,P,05/14,11.6,2021-04-27 10:43:07.121798,False,(NOTHING HERE)
Justinvred,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 10:43:34.105564,True,(TESTY THINGY MABOB)
Justinvred,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 10:44:13.007818,True,(TESTY THINGY MABOB)
Justinvred,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 10:44:22.850716,True,(TESTY THINGY MABOB)
Justinvred,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 10:45:20.082641,True,(TESTY THINGY MABOB)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 12:20:23.047377,True,(TESTY THINGY MABOB)
wildape,STC,TSLA,655P,P,05/14,11.6,2021-04-27 12:22:45.121481,True,(NOTHING HERE)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 12:23:12.802041,True,(TESTY THINGY MABOB)
wildape,STC,TSLA,655P,P,05/14,11.6,2021-04-27 12:23:32.388418,True,(scale out)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 12:26:34.769011,True,(TESTY THINGY MABOB)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 12:26:41.806575,True,(TESTY THINGY MABOB)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 12:26:43.164905,True,(TESTY THINGY MABOB)
wildape,STC,TSLA,655P,P,05/14,11.6,2021-04-27 12:27:11.708311,True,(scale out)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 12:28:45.399306,True,(TESTY THINGY MABOB)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 12:28:49.078896,True,(TESTY THINGY MABOB)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 12:28:50.515576,True,(TESTY THINGY MABOB)
wildape,STC,TSLA,655P,P,05/14,11.6,2021-04-27 12:29:01.764870,True,(scale out)
wildape,BTO,TSLA,655P,P,05/14,12.6,2021-04-27 12:30:30.023785,True,(TESTY THINGY MABOB)
wildape,STC,TSLA,655P,P,05/14,11.6,2021-04-27 12:30:41.954151,True,(scale out)
wildape,BTO,TSLA,655P,P,05/14,12.60,2021-04-27 12:31:48.723781,True,(TESTY THINGY MABOB)
wildape,STC,TSLA,655P,P,05/14,11.60,2021-04-27 12:32:02.990849,True,(scale out)
wildape,STC,TSLA,655P,P,05/14,11.60,2021-04-27 12:32:10.211017,True,(scale out)
wildape,STC,TSLA,655P,P,05/14,11.60,2021-04-27 12:32:19.535206,True,(scale out)
